iter	Passed	Remaining
1117	1980	68888
1118	1981	68852
1119	1983	68846
1120	1984	68838
1121	1986	68833
1122	1988	68828
1123	1989	68823
1124	1991	68819
1125	1993	68816
1126	1995	68814
1127	1996	68814
1128	1998	68809
1129	2000	68805
1130	2001	68800
1131	2003	68793
1132	2005	68788
1133	2006	68782
1134	2008	68780
1135	2010	68778
1136	2012	68773
1137	2013	68771
1138	2015	68766
1139	2017	68763
1140	2019	68762
1141	2020	68762
1142	2022	68759
1143	2024	68755
1144	2026	68752
1145	2027	68748
1146	2029	68744
1147	2031	68740
1148	2032	68734
1149	2034	68732
1150	2036	68725
1151	2037	68720
1152	2039	68716
1153	2041	68712
1154	2042	68705
1155	2044	68700
1156	2046	68696
1157	2047	68663
1158	2048	68660
1159	2050	68657
1160	2052	68654
1161	2053	68650
1162	2055	68646
1163	2057	68640
1164	2059	68637
1165	2060	68637
1166	2062	68630
1167	2064	68625
1168	2065	68620
1169	2067	68616
1170	2069	68615
1171	2070	68611
1172	2072	68604
1173	2074	68601
1174	2076	68600
1175	2077	68594
1176	2079	68595
1177	2081	68585
1178	2082	68581
1179	2084	68582
1180	2086	68576
1181	2088	68573
1182	2089	68568
1183	2091	68562
1184	2093	68558
1185	2094	68553
1186	2096	68550
1187	2098	68544
1188	2099	68543
1189	2101	68535
1190	2103	68535
1191	2105	68536
1192	2106	68534
1193	2108	68528
1194	2110	68520
1195	2111	68516
1196	2113	68514
1197	2115	68515
1198	2117	68509
1199	2118	68508
1200	2120	68502
1201	2122	68503
1202	2123	68498
1203	2124	68466
1204	2126	68461
1205	2128	68456
1206	2129	68450
1207	2131	68442
1208	2132	68437
1209	2134	68432
1210	2136	68434
1211	2138	68433
1212	2139	68425
1213	2141	68422
1214	2143	68419
1215	2144	68414
1216	2146	68416
1217	2148	68417
1218	2150	68415
1219	2152	68411
1220	2153	68409
1221	2155	68409
1222	2157	68402
1223	2159	68399
1224	2160	68393
1225	2162	68391
1226	2164	68384
1227	2165	68385
1228	2167	68382
1229	2169	68377
1230	2171	68376
1231	2172	68374
1232	2174	68367
1233	2176	68360
1234	2177	68355
1235	2179	68351
1236	2181	68351
1237	2182	68346
1238	2184	68345
1239	2186	68343
1240	2188	68338
1241	2189	68336
1242	2191	68335
1243	2193	68331
1244	2195	68328
1245	2196	68325
1246	2198	68322
1247	2200	68318
1248	2201	68314
1249	2203	68309
1250	2205	68304
1251	2206	68300
1252	2208	68302
1253	2210	68299
1254	2212	68296
1255	2213	68292
1256	2215	68291
1257	2217	68286
1258	2219	68286
1259	2220	68280
1260	2222	68277
1261	2224	68273
1262	2225	68271
1263	2227	68267
1264	2229	68262
1265	2230	68256
1266	2232	68254
1267	2234	68250
1268	2236	68247
1269	2237	68240
1270	2239	68233
1271	2240	68229
1272	2242	68228
1273	2244	68226
1274	2246	68219
1275	2247	68211
1276	2249	68207
1277	2250	68202
1278	2252	68197
1279	2254	68195
1280	2256	68205
1281	2258	68201
1282	2259	68194
1283	2261	68193
1284	2263	68187
1285	2264	68185
1286	2266	68187
1287	2268	68183
1288	2270	68181
1289	2271	68176
1290	2273	68173
1291	2275	68167
1292	2276	68161
1293	2278	68157
1294	2280	68152
1295	2281	68147
1296	2283	68144
1297	2285	68139
1298	2286	68136
1299	2288	68135
1300	2290	68142
1301	2292	68140
1302	2294	68138
1303	2295	68133
1304	2297	68128
1305	2299	68131
1306	2301	68128
1307	2303	68134
1308	2305	68131
1309	2306	68126
1310	2307	68096
1311	2308	68086
1312	2310	68085
1313	2312	68085
1314	2314	68080
1315	2316	68084
1316	2320	68145
1317	2321	68144
1318	2324	68162
1319	2326	68162
1320	2327	68161
1321	2329	68155
1322	2330	68142
1323	2332	68135
1324	2334	68131
1325	2336	68133
1326	2337	68130
1327	2339	68130
1328	2340	68097
1329	2341	68093
1330	2343	68087
1331	2345	68084
1332	2347	68082
1333	2348	68073
1334	2350	68071
1335	2352	68071
1336	2354	68076
1337	2355	68071
1338	2357	68064
1339	2359	68061
1340	2360	68060
1341	2362	68053
1342	2364	68050
1343	2365	68046
1344	2367	68039
1345	2369	68043
1346	2371	68038
1347	2372	68035
1348	2374	68030
1349	2376	68026
1350	2377	68019
1351	2379	68015
1352	2381	68012
1353	2382	68010
1354	2384	68009
1355	2385	67985
1356	2387	67999
1357	2389	67995
1358	2391	67990
1359	2392	67984
1360	2394	67977
1361	2396	67976
1362	2397	67972
1363	2399	67973
1364	2401	67971
1365	2403	67969
1366	2405	67968
1367	2406	67965
1368	2408	67964
1369	2410	67960
1370	2412	67960
1371	2413	67958
1372	2415	67957
1373	2417	67957
1374	2419	67957
1375	2421	67958
1376	2422	67954
1377	2424	67949
1378	2426	67951
1379	2427	67948
1380	2429	67946
1381	2431	67942
1382	2433	67940
1383	2434	67936
1384	2436	67934
1385	2438	67930
1386	2440	67930
1387	2441	67924
1388	2443	67921
1389	2445	67919
1390	2446	67919
1391	2448	67915
1392	2450	67907
1393	2452	67914
1394	2453	67901
1395	2455	67895
1396	2456	67889
1397	2458	67883
1398	2460	67878
1399	2461	67870
1400	2463	67870
1401	2465	67866
1402	2466	67867
1403	2468	67866
1404	2470	67863
